iter	Passed	Remaining
0	2	262
1	4	236
2	6	219
3	8	200
4	10	198
5	12	196
6	14	195
7	16	191
8	18	191
9	21	189
10	23	186
11	25	184
12	26	180
13	29	180
14	31	176
15	33	174
16	35	171
17	36	165
18	38	163
19	40	161
20	42	159
21	44	158
22	46	156
23	48	154
24	51	153
25	52	150
26	54	146
27	55	142
28	57	139
29	58	136
30	60	134
31	61	131
32	63	128
33	64	125
34	66	123
35	67	120
36	69	118
37	70	115
38	72	112
39	73	110
40	75	108
41	76	105
42	78	103
43	79	101
44	81	99
45	83	97
46	84	95
47	86	93
48	87	90
49	88	88
50	90	87
51	92	84
52	93	82
53	94	80
54	95	78
55	97	76
56	98	74
57	100	72
58	101	70
59	103	68
60	104	66
61	106	65
62	107	63
63	109	61
64	111	59
65	112	58
66	114	56
67	115	54
68	117	52
69	118	50
70	120	49
71	121	47
72	123	45
73	125	44
74	126	42
75	128	40
76	129	38
77	130	36
78	132	35
79	133	33
80	135	31
81	136	29
82	137	28
83	139	26
84	141	24
85	142	23
86	144	21
87	145	19
88	147	18
89	148	16
90	150	14
91	151	13
92	153	11
93	155	9
94	156	8
95	158	6
96	160	4
97	161	3
98	162	1
99	163	0
